epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27606,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.002,0.002,0.002
2,2.12524,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199751,0.00199751,0.00199751
3,2.98764,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199501,0.00199501,0.00199501
4,3.82215,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199252,0.00199252,0.00199252
5,4.63673,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00199002,0.00199002,0.00199002
6,5.47223,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198752,0.00198752,0.00198752
7,6.33052,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198503,0.00198503,0.00198503
8,7.14731,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198254,0.00198254,0.00198254
9,8.00748,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00198004,0.00198004,0.00198004
10,8.87201,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197755,0.00197755,0.00197755
11,9.6982,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197505,0.00197505,0.00197505
12,10.5703,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197255,0.00197255,0.00197255
13,11.4288,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00197006,0.00197006,0.00197006
14,12.2525,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196757,0.00196757,0.00196757
15,13.0792,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196507,0.00196507,0.00196507
16,13.9079,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196257,0.00196257,0.00196257
17,14.7634,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00196008,0.00196008,0.00196008
18,15.6181,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00195758,0.00195758,0.00195758
19,16.4716,4.25013,7.16651,5.15149,0,0,0,0,4.16703,4.62147,4.15888,0.00195509,0.00195509,0.00195509
